parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mhz,measured_mhz,resource_applied
5201,5,1300,2,4,4,6214.810857,6214.834145,0.023288,0x405149,48,800.000000,3398.527501,1
5201,5,1300,3,4,4,6214.810600,6214.829116,0.018516,0x405149,56,800.000000,4300.000000,1
5598,2,1400,0,4,4,6655.646452,6658.762774,2.903545,0x40500b,0,3956.648147,3981.301257,1
5598,2,1400,1,4,4,6655.645961,6658.765147,2.853510,0x40500b,40,4300.000000,4299.517107,1
5598,2,1400,2,4,4,6655.645818,6658.762329,2.745420,0x40500b,48,3065.170507,3234.111271,1
5598,2,1400,3,4,4,6655.648390,6658.762251,2.882814,0x40500b,56,3050.943247,3179.541981,1
5599,3,1400,0,4,4,6658.831165,6658.996697,0.165532,0x40504c,0,1618.931566,3936.560955,1
5599,3,1400,1,4,4,6658.830775,6658.999906,0.169131,0x40504c,40,800.000000,4300.000000,1
5599,3,1400,2,4,4,6658.830914,6658.992698,0.161784,0x40504c,48,4300.000000,3362.200335,1
5599,3,1400,3,4,4,6658.830852,6658.990710,0.159858,0x40504c,56,3941.415602,3295.604120,1
5600,4,1400,0,4,4,6659.163386,6659.198561,0.035175,0x4050f7,0,4300.000000,4097.680339,1
5600,4,1400,1,4,4,6659.162592,6659.190326,0.027734,0x4050f7,40,1218.714832,4300.000000,1
5600,4,1400,2,4,4,6659.162769,6659.181520,0.018751,0x4050f7,48,800.000000,4297.675676,1
5600,4,1400,3,4,4,6659.162724,6659.181462,0.018738,0x4050f7,56,800.000000,4300.000000,1
5601,5,1400,0,4,4,6659.251989,6659.276139,0.024150,0x405149,0,800.000000,4094.885655,1
5601,5,1400,1,4,4,6659.251745,6659.281928,0.030183,0x405149,40,4300.000000,4300.000000,1
5601,5,1400,2,4,4,6659.251688,6659.270293,0.018605,0x405149,48,800.000000,4302.347162,1
5601,5,1400,3,4,4,6659.251799,6659.270361,0.018562,0x405149,56,800.000000,4300.000000,1
5998,2,1500,0,4,4,7102.271202,7105.376524,2.844483,0x40500b,0,4024.484545,4006.758136,1
5998,2,1500,1,4,4,7102.269966,7105.378118,2.857140,0x40500b,40,4300.000000,4119.095664,1
5998,2,1500,2,4,4,7102.270034,7105.376087,2.927982,0x40500b,48,3056.308439,3100.275510,1
